page_start	page_end	method	text_extracted_yes_no	ocr_used_yes_no	confidence	notable_terms	notes
206	206	pdftotext -layout	yes	no	high		form_feed_split
207	207	pdftotext -layout	yes	no	high		form_feed_split
208	208	pdftotext -layout	yes	no	high		form_feed_split
209	209	pdftotext -layout	yes	no	high		form_feed_split
210	210	pdftotext -layout	yes	no	high		form_feed_split
211	211	pdftotext -layout	yes	no	high		form_feed_split
212	212	pdftotext -layout	yes	no	high		form_feed_split
213	213	pdftotext -layout	yes	no	high		form_feed_split
214	214	pdftotext -layout	yes	no	high		form_feed_split
215	215	pdftotext -layout	yes	no	high	NSO Group	form_feed_split
216	216	pdftotext -layout	yes	no	high	Carbyne911; Carbyne	form_feed_split
217	217	pdftotext -layout	yes	no	high		form_feed_split
218	218	pdftotext -layout	yes	no	high		form_feed_split
219	219	pdftotext -layout	yes	no	high		form_feed_split
220	220	pdftotext -layout	yes	no	high		form_feed_split
221	221	pdftotext -layout	yes	no	high	TerraMar	form_feed_split
222	222	pdftotext -layout	yes	no	high		form_feed_split
223	223	pdftotext -layout	yes	no	high		form_feed_split
224	224	pdftotext -layout	yes	no	high		form_feed_split
225	225	pdftotext -layout	yes	no	high		form_feed_split
226	226	pdftotext -layout	yes	no	high		form_feed_split
227	227	pdftotext -layout	yes	no	high		form_feed_split
228	228	pdftotext -layout	yes	no	high		form_feed_split
229	229	pdftotext -layout	yes	no	high		form_feed_split
230	230	pdftotext -layout	yes	no	high		form_feed_split
231	231	pdftotext -layout	yes	no	high		form_feed_split
232	232	pdftotext -layout	yes	no	high		form_feed_split
233	233	pdftotext -layout	yes	no	high	Southern Trust	form_feed_split
234	234	pdftotext -layout	yes	no	high	MC2; Carbyne911; Carbyne; Southern Trust; Financial Trust	form_feed_split
235	235	pdftotext -layout	yes	no	high		form_feed_split
236	236	pdftotext -layout	yes	no	high		form_feed_split
237	237	pdftotext -layout	yes	no	high		form_feed_split
238	238	pdftotext -layout	yes	no	high		form_feed_split
239	239	pdftotext -layout	yes	no	high	NSO Group	form_feed_split
240	240	pdftotext -layout	yes	no	high		form_feed_split
241	241	pdftotext -layout	yes	no	high		form_feed_split
242	242	pdftotext -layout	yes	no	high		form_feed_split
243	243	pdftotext -layout	yes	no	high		form_feed_split
244	244	pdftotext -layout	yes	no	high		form_feed_split
245	245	pdftotext -layout	yes	no	high		form_feed_split
246	246	pdftotext -layout	yes	no	high		form_feed_split
247	247	pdftotext -layout	yes	no	high		form_feed_split
248	248	pdftotext -layout	yes	no	high		form_feed_split
249	249	pdftotext -layout	yes	no	high		form_feed_split
250	250	pdftotext -layout	yes	no	high		form_feed_split
251	251	pdftotext -layout	yes	no	high		form_feed_split
252	252	pdftotext -layout	yes	no	high		form_feed_split
253	253	pdftotext -layout	yes	no	high		form_feed_split
254	254	pdftotext -layout	yes	no	high		form_feed_split
255	255	pdftotext -layout	yes	no	high		form_feed_split
256	256	pdftotext -layout	yes	no	high		form_feed_split
257	257	pdftotext -layout	yes	no	high		form_feed_split
258	258	pdftotext -layout	yes	no	high		form_feed_split
259	259	pdftotext -layout	yes	no	high		form_feed_split
260	260	pdftotext -layout	yes	no	high		form_feed_split
261	261	pdftotext -layout	yes	no	high		form_feed_split
262	262	pdftotext -layout	yes	no	high		form_feed_split
263	263	pdftotext -layout	yes	no	high		form_feed_split
264	264	pdftotext -layout	yes	no	high		form_feed_split
265	265	pdftotext -layout	yes	no	high		form_feed_split
266	266	pdftotext -layout	yes	no	high		form_feed_split
267	267	pdftotext -layout	yes	no	high		form_feed_split
268	268	pdftotext -layout	yes	no	high		form_feed_split
269	269	pdftotext -layout	yes	no	high		form_feed_split
270	270	pdftotext -layout	yes	no	high		form_feed_split
271	271	pdftotext -layout	yes	no	high		form_feed_split
272	272	pdftotext -layout	yes	no	high		form_feed_split
273	273	pdftotext -layout	yes	no	high		form_feed_split
274	274	pdftotext -layout	yes	no	high		form_feed_split
275	275	pdftotext -layout	yes	no	high		form_feed_split
276	276	pdftotext -layout	yes	no	high		form_feed_split
277	277	pdftotext -layout	yes	no	high		form_feed_split
278	278	pdftotext -layout	yes	no	high		form_feed_split
279	279	pdftotext -layout	yes	no	high		form_feed_split
280	280	pdftotext -layout	yes	no	high		form_feed_split
281	281	pdftotext -layout	yes	no	high		form_feed_split
282	282	pdftotext -layout	yes	no	high		form_feed_split
283	283	pdftotext -layout	yes	no	high		form_feed_split
284	284	pdftotext -layout	yes	no	high		form_feed_split
285	285	pdftotext -layout	yes	no	high		form_feed_split
286	286	pdftotext -layout	yes	no	high		form_feed_split
287	287	pdftotext -layout	yes	no	high		form_feed_split
288	288	pdftotext -layout	yes	no	high		form_feed_split
289	289	pdftotext -layout	yes	no	high		form_feed_split
290	290	pdftotext -layout	yes	no	high		form_feed_split
291	291	pdftotext -layout	yes	no	high		form_feed_split
292	292	pdftotext -layout	yes	no	high		form_feed_split
293	293	pdftotext -layout	yes	no	high		form_feed_split
294	294	pdftotext -layout	yes	no	high		form_feed_split
295	295	pdftotext -layout	yes	no	high		form_feed_split
296	296	pdftotext -layout	yes	no	high		form_feed_split
297	297	pdftotext -layout	yes	no	high		form_feed_split
298	298	pdftotext -layout	yes	no	high		form_feed_split
299	299	pdftotext -layout	yes	no	high		form_feed_split
300	300	pdftotext -layout	yes	no	high		form_feed_split
301	301	pdftotext -layout	yes	no	high		form_feed_split
302	302	pdftotext -layout	yes	no	high		form_feed_split
303	303	pdftotext -layout	yes	no	high		form_feed_split
304	304	pdftotext -layout	yes	no	high		form_feed_split
305	305	pdftotext -layout	yes	no	high		form_feed_split
306	306	pdftotext -layout	yes	no	high		form_feed_split
307	307	pdftotext -layout	yes	no	high		form_feed_split
308	308	pdftotext -layout	yes	no	high		form_feed_split
309	309	pdftotext -layout	yes	no	high		form_feed_split
310	310	pdftotext -layout	yes	no	high		form_feed_split
311	311	pdftotext -layout	yes	no	high		form_feed_split
312	312	pdftotext -layout	yes	no	high		form_feed_split
313	313	pdftotext -layout	yes	no	high		form_feed_split
314	314	pdftotext -layout	yes	no	high		form_feed_split
315	315	pdftotext -layout	yes	no	high		form_feed_split
316	316	pdftotext -layout	yes	no	high		form_feed_split
317	317	pdftotext -layout	yes	no	high		form_feed_split
318	318	pdftotext -layout	yes	no	high		form_feed_split
319	319	pdftotext -layout	yes	no	high		form_feed_split
320	320	pdftotext -layout	yes	no	high		form_feed_split
321	321	pdftotext -layout	yes	no	high		form_feed_split
322	322	pdftotext -layout	yes	no	high		form_feed_split
323	323	pdftotext -layout	yes	no	high		form_feed_split
324	324	pdftotext -layout	yes	no	high		form_feed_split
325	325	pdftotext -layout	yes	no	high		form_feed_split
326	326	pdftotext -layout	yes	no	high		form_feed_split
327	327	pdftotext -layout	yes	no	high		form_feed_split
328	328	pdftotext -layout	yes	no	high		form_feed_split
329	329	pdftotext -layout	yes	no	high		form_feed_split
330	330	pdftotext -layout	yes	no	high		form_feed_split
331	331	pdftotext -layout	yes	no	high		form_feed_split
332	332	pdftotext -layout	yes	no	high		form_feed_split
333	333	pdftotext -layout	yes	no	high		form_feed_split
334	334	pdftotext -layout	yes	no	high		form_feed_split
335	335	pdftotext -layout	yes	no	high		form_feed_split
336	336	pdftotext -layout	yes	no	high		form_feed_split
337	337	pdftotext -layout	yes	no	high		form_feed_split
338	338	pdftotext -layout	yes	no	high		form_feed_split
339	339	pdftotext -layout	yes	no	high		form_feed_split
340	340	pdftotext -layout	yes	no	high		form_feed_split
341	341	pdftotext -layout	yes	no	high		form_feed_split
342	342	pdftotext -layout	yes	no	high		form_feed_split
343	343	pdftotext -layout	yes	no	high		form_feed_split
344	344	pdftotext -layout	yes	no	high		form_feed_split
345	345	pdftotext -layout	yes	no	high		form_feed_split
346	346	pdftotext -layout	yes	no	high		form_feed_split
347	347	pdftotext -layout	yes	no	high	Virginia Giuffre	form_feed_split
348	348	pdftotext -layout	yes	no	high		form_feed_split
349	349	pdftotext -layout	yes	no	high		form_feed_split
350	350	pdftotext -layout	yes	no	high		form_feed_split
351	351	pdftotext -layout	yes	no	high		form_feed_split
352	352	pdftotext -layout	yes	no	high		form_feed_split
353	353	pdftotext -layout	yes	no	high		form_feed_split
354	354	pdftotext -layout	yes	no	high		form_feed_split
355	355	pdftotext -layout	yes	no	high		form_feed_split
356	356	pdftotext -layout	yes	no	high		form_feed_split
357	357	pdftotext -layout	yes	no	high		form_feed_split
358	358	pdftotext -layout	yes	no	high		form_feed_split
359	359	pdftotext -layout	yes	no	high		form_feed_split
360	360	pdftotext -layout	yes	no	high		form_feed_split
361	361	pdftotext -layout	yes	no	high		form_feed_split
362	362	pdftotext -layout	yes	no	high		form_feed_split
363	363	pdftotext -layout	yes	no	high		form_feed_split
364	364	pdftotext -layout	yes	no	high		form_feed_split
365	365	pdftotext -layout	yes	no	high		form_feed_split
366	366	pdftotext -layout	yes	no	high		form_feed_split
367	367	pdftotext -layout	yes	no	high		form_feed_split
368	368	pdftotext -layout	yes	no	high		form_feed_split
369	369	pdftotext -layout	yes	no	high		form_feed_split
370	370	pdftotext -layout	yes	no	high		form_feed_split
371	371	pdftotext -layout	yes	no	high		form_feed_split
372	372	pdftotext -layout	yes	no	high		form_feed_split
373	373	pdftotext -layout	yes	no	high		form_feed_split
374	374	pdftotext -layout	yes	no	high		form_feed_split
375	375	pdftotext -layout	yes	no	high		form_feed_split
376	376	pdftotext -layout	yes	no	high		form_feed_split
377	377	pdftotext -layout	yes	no	high		form_feed_split
378	378	pdftotext -layout	yes	no	high		form_feed_split
379	379	pdftotext -layout	yes	no	high		form_feed_split
380	380	pdftotext -layout	yes	no	high		form_feed_split
381	381	pdftotext -layout	yes	no	high		form_feed_split
382	382	pdftotext -layout	yes	no	high		form_feed_split
383	383	pdftotext -layout	yes	no	high		form_feed_split
384	384	pdftotext -layout	yes	no	high		form_feed_split
385	385	pdftotext -layout	yes	no	high		form_feed_split
386	386	pdftotext -layout	yes	no	high		form_feed_split
387	387	pdftotext -layout	yes	no	high		form_feed_split
388	388	pdftotext -layout	yes	no	high		form_feed_split
389	389	pdftotext -layout	yes	no	high		form_feed_split
390	390	pdftotext -layout	yes	no	high		form_feed_split
391	391	pdftotext -layout	yes	no	high		form_feed_split
392	392	pdftotext -layout	yes	no	high		form_feed_split
393	393	pdftotext -layout	yes	no	high		form_feed_split
394	394	pdftotext -layout	yes	no	high		form_feed_split
395	395	pdftotext -layout	yes	no	high		form_feed_split
396	396	pdftotext -layout	yes	no	high		form_feed_split
397	397	pdftotext -layout	yes	no	high		form_feed_split
398	398	pdftotext -layout	yes	no	high		form_feed_split
399	399	pdftotext -layout	yes	no	high		form_feed_split
400	400	pdftotext -layout	yes	no	high		form_feed_split
401	401	pdftotext -layout	yes	no	high		form_feed_split
402	402	pdftotext -layout	yes	no	high		form_feed_split
403	403	pdftotext -layout	yes	no	high		form_feed_split
404	404	pdftotext -layout	yes	no	high		form_feed_split
405	405	pdftotext -layout	yes	no	high		form_feed_split
406	406	pdftotext -layout	yes	no	high		form_feed_split
407	407	pdftotext -layout	yes	no	high		form_feed_split
408	408	pdftotext -layout	yes	no	high		form_feed_split
409	409	pdftotext -layout	yes	no	high		form_feed_split
410	410	pdftotext -layout	yes	no	high		form_feed_split
411	411	pdftotext -layout	yes	no	high		form_feed_split
412	412	pdftotext -layout	yes	no	high		form_feed_split
413	413	pdftotext -layout	yes	no	high		form_feed_split
414	414	pdftotext -layout	yes	no	high		form_feed_split
415	415	pdftotext -layout	yes	no	high		form_feed_split
416	416	pdftotext -layout	yes	no	high		form_feed_split
417	417	pdftotext -layout	yes	no	high		form_feed_split
418	418	pdftotext -layout	yes	no	high		form_feed_split
419	419	pdftotext -layout	yes	no	high		form_feed_split
420	420	pdftotext -layout	yes	no	high		form_feed_split
421	421	pdftotext -layout	yes	no	high		form_feed_split
422	422	pdftotext -layout	yes	no	high	Carbyne911; Carbyne	form_feed_split
423	423	pdftotext -layout	yes	no	high	MC2; NSO Group; Carbyne911; Carbyne	form_feed_split
424	424	pdftotext -layout	yes	no	high		form_feed_split
425	425	pdftotext -layout	yes	no	high	Ghislaine Maxwell; MC2; Carbyne911; Carbyne	form_feed_split
426	426	pdftotext -layout	yes	no	high		form_feed_split
427	427	pdftotext -layout	yes	no	high		form_feed_split
428	428	pdftotext -layout	yes	no	high		form_feed_split
429	429	pdftotext -layout	yes	no	high		form_feed_split
430	430	pdftotext -layout	yes	no	high	Leslie Wexner	form_feed_split
431	431	pdftotext -layout	yes	no	high		form_feed_split
432	432	pdftotext -layout	yes	no	high		form_feed_split
433	433	pdftotext -layout	yes	no	high		form_feed_split
434	434	pdftotext -layout	yes	no	high		form_feed_split
435	435	pdftotext -layout	yes	no	high		form_feed_split
436	436	pdftotext -layout	yes	no	high		form_feed_split
437	437	pdftotext -layout	yes	no	high		form_feed_split
438	438	pdftotext -layout	yes	no	high		form_feed_split
439	439	pdftotext -layout	yes	no	high		form_feed_split
440	440	pdftotext -layout	yes	no	high		form_feed_split
441	441	pdftotext -layout	yes	no	high		form_feed_split
442	442	pdftotext -layout	yes	no	high		form_feed_split
443	443	pdftotext -layout	yes	no	high		form_feed_split
444	444	pdftotext -layout	yes	no	high		form_feed_split
445	445	pdftotext -layout	yes	no	high		form_feed_split
446	446	pdftotext -layout	yes	no	high		form_feed_split
447	447	pdftotext -layout	yes	no	high		form_feed_split
448	448	pdftotext -layout	yes	no	high		form_feed_split
449	449	pdftotext -layout	yes	no	high		form_feed_split
450	450	pdftotext -layout	yes	no	high		form_feed_split
451	451	pdftotext -layout	yes	no	high		form_feed_split
452	452	pdftotext -layout	yes	no	high		form_feed_split
453	453	pdftotext -layout	yes	no	high		form_feed_split
454	454	pdftotext -layout	yes	no	high		form_feed_split
455	455	pdftotext -layout	yes	no	high		form_feed_split
456	456	pdftotext -layout	yes	no	high		form_feed_split
457	457	pdftotext -layout	yes	no	high		form_feed_split
458	458	pdftotext -layout	yes	no	high		form_feed_split
459	459	pdftotext -layout	yes	no	high		form_feed_split
460	460	pdftotext -layout	yes	no	high		form_feed_split
461	461	pdftotext -layout	yes	no	high		form_feed_split
462	462	pdftotext -layout	yes	no	high		form_feed_split
463	463	pdftotext -layout	yes	no	high		form_feed_split
464	464	pdftotext -layout	yes	no	high		form_feed_split
465	465	pdftotext -layout	yes	no	high		form_feed_split
466	466	pdftotext -layout	yes	no	high		form_feed_split
467	467	pdftotext -layout	yes	no	high		form_feed_split
468	468	pdftotext -layout	yes	no	high		form_feed_split
469	469	pdftotext -layout	yes	no	high		form_feed_split
470	470	pdftotext -layout	yes	no	high		form_feed_split
471	471	pdftotext -layout	yes	no	high		form_feed_split
472	472	pdftotext -layout	yes	no	high		form_feed_split
473	473	pdftotext -layout	yes	no	high		form_feed_split
474	474	pdftotext -layout	yes	no	high		form_feed_split
475	475	pdftotext -layout	yes	no	high		form_feed_split
476	476	pdftotext -layout	yes	no	high		form_feed_split
